date,regime,total_params,train_params,non_train_params,test_loss,train_loss,valid_loss,train_time (s),epochs,input_size,batch_size,network_width,hidden_layers,activation_fn,train_proportion,test_proportion,valid_proportion,device,optimizer_name,optimizer_params,loss_fn,custom_arch,R2_test,R2_train,R2_valid,MSE_test,MSE_train,MSE_valid,MAE_test,MAE_train,MAE_valid,hellinger_dist_test,hellinger_dist_train,hellinger_dist_valid,infidelity,exponential_lr,width_sequence
20260611_190203,h=0.5,178321.0,178321.0,0.0,1.037,0.4771,1.3375,4.91,5.0,"(32, 12)",40.0,custom,custom,tanh,0.7,0.2,0.1,cuda,Adam,"{'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0001, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False}",MSELoss,True,0.4484,0.8228,0.5016,1.0442,0.477,1.3591,0.837,0.5411,0.947,0.0407,5.2286,0.0429,0.4015,,
20260611_190203,h=0.5,178321.0,178321.0,0.0,1.2645,0.3262,3.4304,5.11,5.0,"(32, 12)",40.0,custom,custom,relu,0.7,0.2,0.1,cuda,Adam,"{'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0001, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False}",MSELoss,True,0.3313,0.879,-0.2757,1.266,0.3259,3.4784,0.8842,0.4372,1.6328,0.0461,5.28,0.0468,0.3729,,
20260611_190203,h=0.5,178321.0,178321.0,0.0,0.7486,0.4027,2.1447,4.86,5.0,"(32, 12)",40.0,custom,custom,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0001, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False}",MSELoss,True,0.6009,0.8504,0.1641,0.7555,0.4027,2.2792,0.6836,0.4971,1.2324,0.0348,5.2747,0.0492,0.3601,,
20260611_190203,h=2.0,178321.0,178321.0,0.0,0.1616,0.1563,0.2994,5.11,5.0,"(32, 12)",40.0,custom,custom,relu,0.7,0.2,0.1,cuda,AdamW,"{'lr': 3.5e-05, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.1, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': True}",MSELoss,True,-0.017,0.154,-0.783,0.1625,0.1561,0.3072,0.3142,0.3128,0.4458,0.0323,1.9524,0.0355,0.1427,,
20260611_190203,h=2.0,178321.0,178321.0,0.0,0.1714,0.1338,0.3537,4.86,5.0,"(32, 12)",40.0,custom,custom,gelu,0.7,0.2,0.1,cuda,AdamW,"{'lr': 3.5e-05, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.1, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': True}",MSELoss,True,-0.0774,0.2747,-1.0586,0.1721,0.1339,0.3547,0.3335,0.2939,0.4882,0.0313,2.0718,0.0353,0.1339,,
20260611_190203,h=2.0,178321.0,178321.0,0.0,0.2278,0.1166,0.61,4.91,5.0,"(32, 12)",40.0,custom,custom,tanh,0.7,0.2,0.1,cuda,AdamW,"{'lr': 3.5e-05, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.1, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': True}",MSELoss,True,-0.4237,0.3679,-2.5377,0.2274,0.1166,0.6096,0.3909,0.2723,0.6575,0.0305,2.1728,0.0406,0.1519,,
20260611_190203,h=1.0,178321.0,178321.0,0.0,0.6325,0.0832,1.3068,4.86,5.0,"(32, 12)",40.0,custom,custom,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False}",MSELoss,True,-0.0142,0.8873,-0.6153,0.6311,0.0832,1.2823,0.669,0.23,1.0422,0.0354,4.3548,0.0411,0.1675,,
20260611_190203,h=1.0,178321.0,178321.0,0.0,0.4427,0.1456,1.9514,5.11,5.0,"(32, 12)",40.0,custom,custom,relu,0.7,0.2,0.1,cuda,Adam,"{'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False}",MSELoss,True,0.2869,0.8024,-1.4143,0.4437,0.1458,1.9166,0.5474,0.301,1.2707,0.0384,4.2671,0.0493,0.2055,,
20260611_190203,h=1.0,178321.0,178321.0,0.0,0.6982,0.102,1.563,4.91,5.0,"(32, 12)",40.0,custom,custom,tanh,0.7,0.2,0.1,cuda,Adam,"{'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False}",MSELoss,True,-0.1271,0.8619,-1.0098,0.7014,0.1019,1.5955,0.7243,0.2522,1.1706,0.0323,4.3316,0.0441,0.178,,
20260622_173814,h=0.5,129.0,129.0,0.0,1.0576,0.5442,2.7891,3.33,20.0,"(32, 12)",40.0,8,custom,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 0.001, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0.0001, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False}",MSELoss,True,0.4353,0.7984,0.0082,1.069,0.5427,2.7044,0.788,0.5764,1.2299,0.0427,5.1355,0.0651,0.3468,False,
