date,regime,total_params,train_params,non_train_params,test_loss,train_loss,valid_loss,train_time (s),epochs,input_size,batch_size,network_width,hidden_layers,activation_fn,train_proportion,test_proportion,valid_proportion,device,optimizer_name,optimizer_params,loss_fn,custom_arch,R2_test,R2_train,R2_valid,MSE_test,MSE_train,MSE_valid,MAE_test,MAE_train,MAE_valid,hellinger_dist_test,hellinger_dist_train,hellinger_dist_valid,infidelity,exponential_lr,width_sequence,n_hidden_layers
20260627_024254,h=0.5,168577.0,168577.0,0.0,0.3196,0.038,0.6305,10.18,60.0,"(32, 12)",40.0,128_256_512,custom,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 0.000334, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,True,0.8294,0.9859,0.7799,0.3229,0.0381,0.6,0.4472,0.1494,0.6663,0.0179,5.3693,0.0255,0.0647,True,,3
20260627_024254,h=0.5,20033.0,20033.0,0.0,1.763,0.7139,4.9775,10.16,60.0,"(32, 12)",40.0,32_32_512,custom,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 0.000334, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,True,0.0609,0.735,-0.7436,1.7778,0.7135,4.7542,0.9867,0.629,1.6298,0.0496,5.1827,0.0768,0.4444,True,,3
20260627_024254,h=0.5,589057.0,589057.0,0.0,0.3472,0.0406,0.9729,10.24,60.0,"(32, 12)",40.0,2048_256_128,custom,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 0.000334, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,True,0.8148,0.985,0.6436,0.3506,0.0405,0.9719,0.4889,0.1383,0.9219,0.0176,5.3773,0.0212,0.1759,True,,3
20260627_024254,h=0.5,340465.0,340465.0,0.0,0.9974,0.7065,2.806,10.12,60.0,"(32, 12)",40.0,16_4096_64,custom,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 0.000334, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,True,0.4779,0.7373,0.0134,0.9885,0.7072,2.6903,0.8003,0.6656,1.2621,0.0408,4.9747,0.0631,0.4312,True,,3
20260627_024254,h=0.5,403457.0,403457.0,0.0,0.271,0.0139,0.6655,10.15,60.0,"(32, 12)",40.0,512_512_256,custom,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 0.000334, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,True,0.8575,0.9948,0.7498,0.2698,0.0139,0.6823,0.4476,0.0874,0.7873,0.0122,5.419,0.0172,0.0937,True,,3
20260627_024254,h=0.5,164161.0,164161.0,0.0,3.2012,2.4657,2.6015,10.21,60.0,"(32, 12)",40.0,2048_64_32,custom,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 0.000334, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,True,-0.6865,0.0844,0.0137,3.1927,2.4651,2.6893,1.5369,1.2508,1.2983,0.054,4.6173,0.0784,0.5571,True,,3
20260627_024254,h=0.5,68737.0,68737.0,0.0,0.5209,0.0058,1.3183,10.15,60.0,"(32, 12)",40.0,128_256_128,custom,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 0.00099, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,True,0.725,0.9978,0.5177,0.5207,0.0059,1.315,0.6149,0.0557,1.1207,0.0171,5.4544,0.0197,0.121,True,,3
20260627_024254,h=0.5,688897.0,688897.0,0.0,0.3734,0.0053,0.67,10.15,60.0,"(32, 12)",40.0,2048_256_512,custom,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 0.000334, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,True,0.8017,0.998,0.7523,0.3754,0.0053,0.6755,0.5327,0.0539,0.7927,0.0133,5.4453,0.0175,0.0778,True,,3
20260627_024254,h=0.5,6209.0,6209.0,0.0,0.3281,0.0111,0.7419,10.13,60.0,"(32, 12)",40.0,32_32_128,custom,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 0.00099, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,True,0.8265,0.9959,0.7267,0.3284,0.0111,0.7452,0.5011,0.0818,0.8176,0.0129,5.4498,0.0195,0.061,True,,3
20260627_024254,h=0.5,201825.0,201825.0,0.0,0.3554,0.0143,1.0465,10.17,60.0,"(32, 12)",40.0,4096_32_256,custom,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 0.000334, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,True,0.8126,0.9947,0.6225,0.3548,0.0143,1.0293,0.4901,0.0876,0.9701,0.0153,5.4199,0.0222,0.1045,True,,3
20260627_024254,h=0.5,10369.0,10369.0,0.0,0.6097,0.004,1.2653,9.49,60.0,"(32, 12)",40.0,128_64,custom,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 0.00099, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,True,0.6782,0.9985,0.5388,0.6093,0.004,1.2576,0.649,0.0496,1.1007,0.0185,5.4602,0.0179,0.1167,True,,2
20260627_024254,h=0.5,20481.0,20481.0,0.0,0.562,0.0034,0.8773,9.46,60.0,"(32, 12)",40.0,256_64,custom,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 0.00099, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,True,0.701,0.9987,0.6749,0.5661,0.0034,0.8865,0.6399,0.0452,0.922,0.0168,5.4543,0.0142,0.105,True,,2
20260627_024254,h=0.5,211041.0,211041.0,0.0,0.3909,0.0101,0.8292,10.17,60.0,"(32, 12)",40.0,4096_32_512,custom,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 0.000334, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,True,0.7927,0.9962,0.6982,0.3923,0.0101,0.8229,0.5186,0.0755,0.8721,0.0157,5.4298,0.0198,0.0995,True,,3
20260627_024254,h=0.5,337409.0,337409.0,0.0,0.351,0.0689,1.0714,10.11,60.0,"(32, 12)",40.0,512_512_128,custom,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 0.000334, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,True,0.8139,0.9744,0.6065,0.3523,0.069,1.073,0.4956,0.1867,0.9286,0.0199,5.3344,0.0276,0.199,True,,3
20260627_024254,h=0.5,622337.0,622337.0,0.0,0.428,0.0083,0.9024,10.12,60.0,"(32, 12)",40.0,2048_256_256,custom,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 0.000334, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,True,0.774,0.9969,0.6719,0.4278,0.0083,0.8946,0.5531,0.0674,0.9105,0.0153,5.4406,0.0199,0.105,True,,3
20260627_024254,h=0.5,604097.0,604097.0,0.0,9.4117,7.9133,4.7149,10.16,60.0,"(32, 12)",40.0,128_4096_16,custom,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 0.000334, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,True,-3.981,-1.9423,-0.7469,9.4295,7.9212,4.7632,2.8293,2.5026,1.8806,0.0569,4.067,0.079,0.5989,True,,3
20260627_024254,h=0.5,152961.0,152961.0,0.0,2.1271,1.6156,2.7662,10.17,60.0,"(32, 12)",40.0,256_512_32,custom,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 0.000334, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,True,-0.1301,0.3994,-0.0263,2.1393,1.617,2.7985,1.2307,1.0069,1.2493,0.0516,4.7692,0.077,0.5258,True,,3
20260627_024254,h=0.5,1185.0,1185.0,0.0,0.655,0.0205,0.9996,10.15,60.0,"(32, 12)",40.0,16_16_32,custom,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 0.00099, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,True,0.6541,0.9924,0.6316,0.6548,0.0205,1.0046,0.7144,0.1111,0.9665,0.0175,5.4236,0.0168,0.1446,True,,3
20260627_024254,h=0.5,7265.0,7265.0,0.0,0.5054,0.0055,1.035,10.43,60.0,"(32, 12)",40.0,128_32_32,custom,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 0.00099, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,True,0.7343,0.998,0.6225,0.503,0.0055,1.0294,0.6028,0.0555,0.991,0.0164,5.4479,0.0187,0.1061,True,,3
20260627_024254,h=0.5,127665.0,127665.0,0.0,1.4702,0.9597,1.7139,10.16,60.0,"(32, 12)",40.0,4096_16_32,custom,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 0.000334, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,True,0.2126,0.6437,0.3744,1.4906,0.9593,1.7057,0.9848,0.7236,1.0651,0.0467,4.8599,0.0558,0.4681,True,,3
20260627_024254,h=0.5,535553.0,535553.0,0.0,0.5373,0.0072,1.1923,10.15,60.0,"(32, 12)",40.0,512_512_512,custom,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 0.000334, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,True,0.7176,0.9973,0.5678,0.5347,0.0072,1.1784,0.617,0.0651,1.0449,0.018,5.4318,0.0214,0.0935,True,,3
20260627_024254,h=0.5,197217.0,197217.0,0.0,0.3907,0.0228,0.8368,10.17,60.0,"(32, 12)",40.0,4096_32_128,custom,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 0.000334, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,True,0.7956,0.9915,0.6915,0.387,0.0228,0.8412,0.5171,0.1022,0.8805,0.0165,5.3993,0.0183,0.1519,True,,3
20260627_024254,h=0.5,10817.0,10817.0,0.0,0.4444,0.0071,0.6578,10.17,60.0,"(32, 12)",40.0,32_32_256,custom,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 0.00099, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,True,0.7654,0.9974,0.7567,0.4441,0.0071,0.6633,0.5796,0.0649,0.7763,0.0159,5.4461,0.0141,0.0935,True,,3
20260627_024254,h=0.5,8497217.0,8497217.0,0.0,9.0074,7.8303,4.7392,17.96,60.0,"(32, 12)",40.0,2048_4096_16,custom,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 0.000334, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,True,-3.7513,-1.9054,-0.7142,8.9946,7.822,4.6742,2.7553,2.4982,1.8573,0.0571,3.8729,0.079,0.6175,True,,3
20260627_024254,h=0.5,563585.0,563585.0,0.0,0.2413,0.005,0.505,10.16,60.0,"(32, 12)",40.0,2048_128_2048,custom,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 0.000334, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,True,0.8723,0.9981,0.8149,0.2418,0.005,0.5047,0.391,0.0541,0.6829,0.0138,5.4479,0.0157,0.0483,True,,3
20260627_024254,h=0.5,102017.0,102017.0,0.0,0.3519,0.0024,1.1361,10.19,60.0,"(32, 12)",40.0,128_256_256,custom,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 0.00099, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,True,0.8131,0.9991,0.5833,0.3539,0.0024,1.1363,0.4822,0.0383,1.037,0.0156,5.4516,0.0197,0.0771,True,,3
