date,regime,total_params,train_params,non_train_params,test_loss,train_loss,valid_loss,train_time (s),epochs,input_size,batch_size,network_width,hidden_layers,activation_fn,train_proportion,test_proportion,valid_proportion,device,optimizer_name,optimizer_params,loss_fn,custom_arch,R2_test,R2_train,R2_valid,MSE_test,MSE_train,MSE_valid,MAE_test,MAE_train,MAE_valid,hellinger_dist_test,hellinger_dist_train,hellinger_dist_valid,infidelity,exponential_lr,width_sequence
20260609_185159,h=1.0⁻⁶,16855041.0,16855041.0,0.0,3373.5227,6332.6706,1966.7554,3.25,5.0,"(32, 12)",40.0,4096,1,tanh,0.7,0.2,0.1,cuda,Adam,"{'lr': 1e-06, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,False,-5.1483,-9.5961,-3.5946,3373.7656,6332.4839,2023.5804,52.8968,75.3981,39.9573,0.1325,4.9531,0.1377,,,
20260609_185159,h=1.0⁻⁶,67264513.0,67264513.0,0.0,2124.5452,4429.5603,1149.2972,9.58,5.0,"(32, 12)",40.0,8192,1,tanh,0.7,0.2,0.1,cuda,Adam,"{'lr': 1e-06, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,False,-2.8596,-6.4101,-1.5958,2117.8774,4428.4546,1143.2792,40.1765,61.697,28.6327,0.1242,4.8813,0.1311,,,
20260609_185159,h=1.0⁻⁶,4233217.0,4233217.0,0.0,4643.6619,8119.2883,3095.4931,1.4,5.0,"(32, 12)",40.0,2048,1,tanh,0.7,0.2,0.1,cuda,Adam,"{'lr': 1e-06, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,False,-7.4644,-12.5918,-5.816,4644.6973,8122.8394,3001.9285,63.7074,86.4838,50.3675,0.1424,5.1391,0.1468,,,
20260609_185159,h=1.0⁻⁶,16855041.0,16855041.0,0.0,3828.4018,6952.6923,2417.6841,3.07,5.0,"(32, 12)",40.0,4096,1,relu,0.7,0.2,0.1,cuda,Adam,"{'lr': 1e-06, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,False,-5.982,-10.6342,-4.4671,3831.2505,6952.9321,2407.8604,57.2874,79.6584,44.5531,0.1211,4.8808,0.1302,,,
20260609_185159,h=1.0⁻⁶,4233217.0,4233217.0,0.0,4941.52,8449.2675,3345.2728,1.34,5.0,"(32, 12)",40.0,2048,1,relu,0.7,0.2,0.1,cuda,Adam,"{'lr': 1e-06, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,False,-8.016,-13.14,-6.4666,4947.3555,8450.4307,3288.5015,66.2896,88.5833,53.3739,0.1221,4.9203,0.1309,,,
20260609_185159,h=1.0⁻⁶,67264513.0,67264513.0,0.0,2607.8158,5202.6869,1495.1585,9.59,5.0,"(32, 12)",40.0,8192,1,relu,0.7,0.2,0.1,cuda,Adam,"{'lr': 1e-06, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,False,-3.7564,-7.7064,-2.4424,2609.96,5203.1494,1516.1093,45.5859,67.7937,33.6242,0.1198,4.8684,0.1291,,,
20260609_185159,h=1.0⁻⁶,67264513.0,67264513.0,0.0,2582.5846,5136.8842,1455.2244,10.22,5.0,"(32, 12)",40.0,8192,1,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 1e-06, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,False,-3.7067,-7.5928,-2.3421,2582.7292,5135.291,1471.967,45.2291,67.2118,33.0589,0.1227,4.877,0.131,,,
20260609_185159,h=1.0⁻⁶,4233217.0,4233217.0,0.0,5080.6684,8686.6531,3376.0909,1.32,5.0,"(32, 12)",40.0,2048,1,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 1e-06, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,False,-8.2766,-13.5362,-6.7266,5090.3516,8687.2002,3403.0115,67.3193,89.8627,54.3858,0.1278,4.9794,0.136,,,
20260609_185159,h=1.0⁻⁶,16855041.0,16855041.0,0.0,3962.4586,7094.2054,2435.51,3.12,5.0,"(32, 12)",40.0,4096,1,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 1e-06, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,False,-6.2192,-10.8704,-4.6178,3961.4116,7094.0483,2474.2061,58.293,80.4619,45.1814,0.127,4.9095,0.1345,,,
20260609_185159,h=1.0⁻⁶,12634113.0,12634113.0,0.0,4354.6904,7715.2658,2793.5002,2.58,5.0,"(32, 12)",40.0,2048,3,relu,0.7,0.2,0.1,cuda,Adam,"{'lr': 1e-06, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,False,-6.9366,-11.9085,-5.5316,4355.0298,7714.4741,2876.6987,61.6753,84.3347,49.3922,0.1196,4.8705,0.129,,,
20260609_185159,h=1.0⁻⁶,201531393.0,201531393.0,0.0,2507.3116,5090.8852,1501.757,27.0,5.0,"(32, 12)",40.0,8192,3,relu,0.7,0.2,0.1,cuda,Adam,"{'lr': 1e-06, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,False,-3.5723,-7.5162,-2.3472,2508.9641,5089.4976,1474.1987,44.6356,67.0275,33.1451,0.1172,4.8647,0.1273,,,
20260609_185159,h=1.0⁻⁶,50434049.0,50434049.0,0.0,3474.4647,6499.6922,2240.2289,7.46,5.0,"(32, 12)",40.0,4096,3,relu,0.7,0.2,0.1,cuda,Adam,"{'lr': 1e-06, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,False,-5.3315,-9.8824,-4.005,3474.3127,6503.6094,2204.343,54.2029,76.8374,42.3575,0.1178,4.8651,0.1277,,,
20260609_185159,h=1.0⁻⁶,50434049.0,50434049.0,0.0,3319.3309,6269.9834,2045.711,7.45,5.0,"(32, 12)",40.0,4096,3,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 1e-06, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,False,-5.047,-9.4862,-3.7012,3318.1741,6266.8379,2070.5132,52.7385,75.2642,40.7954,0.1188,4.8661,0.1282,,,
20260609_185159,h=1.0⁻⁶,12634113.0,12634113.0,0.0,4255.8369,7550.288,2791.8993,2.59,5.0,"(32, 12)",40.0,2048,3,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 1e-06, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,False,-6.7474,-11.6308,-5.29,4251.2148,7548.5015,2770.2656,60.7814,83.3108,48.2882,0.1223,4.8789,0.1305,,,
20260609_185159,h=1.0⁻⁶,201531393.0,201531393.0,0.0,2294.8559,4754.1714,1304.3756,27.01,5.0,"(32, 12)",40.0,8192,3,gelu,0.7,0.2,0.1,cuda,Adam,"{'lr': 1e-06, 'betas': (0.9, 0.999), 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None, 'decoupled_weight_decay': False, 'initial_lr': 0.001}",MSELoss,False,-3.1848,-6.9616,-1.988,2296.354,4758.0557,1315.9786,42.4132,64.521,31.1521,0.1175,4.8648,0.1274,,,
