,train_params,test_loss,train_loss,valid_loss,train_time (s),epochs,network_width,hidden_layers,R2_test,R2_train,R2_valid,MSE_test,MSE_train,MSE_valid,MAE_test,MAE_train,MAE_valid,hellinger_dist_test,hellinger_dist_train,hellinger_dist_valid,infidelity
count,3857,3857,3857,3857,3857,3857,,,3857,3857,3857,3857,3857,3857,3857,3857,3857,3857,3857,3857,3857
sum,11303257609.0,4624.438,4400.7568,4134.5542,358158.76,376875.0,,,-25086.6735,-19991.9998,-20138.4758,4623.7412,4400.9718,4134.8585,2581.0612,1984.818,2882.8732,94.5109,9553.643,94.341,332.9707
mean,2930582.735,1.199,1.141,1.072,92.8594,97.712,,,-6.5042,-5.1833,-5.2213,1.1988,1.141,1.072,0.6692,0.5146,0.7474,0.0245,2.477,0.0245,0.0863
median,152961.0,0.1476,0.0105,0.2914,10.08,60.0,,,0.0762,0.943,-0.692,0.1476,0.0105,0.2916,0.3221,0.0783,0.5005,0.0187,2.6122,0.0196,0.0502
mode,43220625.0,0.1221,0.0005,0.1782,5.2,30.0,,,0.3004,0.9999,-0.3521,0.0955,0.0005,0.1725,0.2666,0.0169,0.3534,0.0326,2.6443,0.0363,0.1543
min,129.0,0.0172,0.0,0.0373,3.29,5.0,,,-112.6544,-99.6447,-90.4556,0.0172,0.0,0.037,0.1073,0.0011,0.1834,0.0067,1.8703,0.0036,0.0031
max,201531393.0,18.1743,18.5725,15.7806,8038.82,1000.0,,,0.8924,1.0,0.7855,18.1563,18.5725,15.7595,4.2414,4.2875,3.9488,0.2555,14.4629,0.2758,0.4026
std,12095795.7484,2.7328,2.8002,2.1626,479.4053,192.2782,,,17.1058,15.1749,12.5538,2.7327,2.8003,2.1632,0.8264,0.9073,0.6643,0.015,0.5945,0.0162,0.0667
var,146308274787314.1,7.4684,7.8413,4.677,229829.4355,36970.8981,,,292.6101,230.277,157.5977,7.4674,7.8416,4.6796,0.6829,0.8233,0.4414,0.0002,0.3535,0.0003,0.0044
skew,10.2618,2.8536,2.8181,3.1029,7.9806,3.7518,,,-2.8545,-2.818,-3.1037,2.8545,2.818,3.1037,2.2272,2.0795,2.4519,4.7183,7.6297,2.5902,0.8736
kurt,139.5351,7.6829,7.4345,9.5451,74.837,13.5694,,,7.6899,7.4339,9.5512,7.6899,7.434,9.5512,3.7034,3.1033,4.9993,47.3649,101.6922,23.5302,-0.0203
25th_quantile,26161.0,0.108,0.0012,0.2191,5.22,30.0,,,-0.533,-0.1977,-1.6873,0.108,0.0012,0.2186,0.2799,0.0269,0.4354,0.0148,2.1456,0.0113,0.0311
50th_quantile,152961.0,0.1476,0.0105,0.2914,10.08,60.0,,,0.0762,0.943,-0.692,0.1476,0.0105,0.2916,0.3221,0.0783,0.5005,0.0187,2.6122,0.0196,0.0502
75th_quantile,1070065.0,0.2453,0.2209,0.4625,10.3,60.0,,,0.3241,0.9935,-0.2686,0.2449,0.221,0.4631,0.4173,0.3875,0.616,0.0325,2.6408,0.0363,0.1528
