config,amplitude,probability
000000000000,5.960464477545778e-80,3.5527136788085057e-159
100000000000,2.3841857910180143e-73,5.6843418860921935e-146
010000000000,2.3841857910180108e-73,5.6843418860921775e-146
110000000000,9.536743164070856e-67,9.094947017745219e-133
001000000000,2.3841857910180127e-73,5.684341886092186e-146
101000000000,9.536743164070865e-67,9.094947017745238e-133
011000000000,9.536743164070852e-67,9.094947017745211e-133
111000000000,3.814697265627866e-60,1.4551915228388714e-119
000100000000,2.384185791018014e-73,5.684341886092192e-146
100100000000,9.536743164070865e-67,9.094947017745238e-133
010100000000,9.536743164070852e-67,9.094947017745211e-133
110100000000,3.814697265627866e-60,1.4551915228388714e-119
001100000000,9.536743164070862e-67,9.094947017745232e-133
101100000000,3.8146972656278676e-60,1.4551915228388728e-119
011100000000,3.814697265627865e-60,1.4551915228388706e-119
111100000000,1.5258789062509562e-53,2.3283064365416146e-106
000010000000,2.3841857910180137e-73,5.684341886092191e-146
100010000000,9.536743164070865e-67,9.094947017745238e-133
010010000000,9.536743164070853e-67,9.094947017745214e-133
110010000000,3.814697265627866e-60,1.4551915228388714e-119
001010000000,9.536743164070862e-67,9.094947017745232e-133
101010000000,3.814697265627868e-60,1.4551915228388733e-119
011010000000,3.814697265627865e-60,1.4551915228388706e-119
111010000000,1.5258789062509562e-53,2.3283064365416146e-106
000110000000,9.536743164070864e-67,9.094947017745235e-133
100110000000,3.814697265627868e-60,1.4551915228388733e-119
010110000000,3.814697265627865e-60,1.4551915228388706e-119
110110000000,1.5258789062509562e-53,2.3283064365416146e-106
001110000000,3.814697265627867e-60,1.4551915228388725e-119
101110000000,1.525878906250957e-53,2.328306436541617e-106
011110000000,1.5258789062509553e-53,2.328306436541612e-106
111110000000,6.103515625003061e-47,3.7252902984656506e-93
000001000000,2.384185791018012e-73,5.684341886092183e-146
100001000000,9.536743164070862e-67,9.094947017745232e-133
010001000000,9.536743164070849e-67,9.094947017745207e-133
110001000000,3.814697265627865e-60,1.4551915228388706e-119
001001000000,9.536743164070856e-67,9.094947017745219e-133
101001000000,3.8146972656278676e-60,1.4551915228388728e-119
011001000000,3.814697265627864e-60,1.4551915228388698e-119
111001000000,1.5258789062509553e-53,2.328306436541612e-106
000101000000,9.536743164070861e-67,9.09494701774523e-133
100101000000,3.8146972656278676e-60,1.4551915228388728e-119
010101000000,3.814697265627864e-60,1.4551915228388698e-119
110101000000,1.5258789062509553e-53,2.328306436541612e-106
001101000000,3.8146972656278665e-60,1.455191522838872e-119
101101000000,1.5258789062509565e-53,2.3283064365416155e-106
011101000000,1.5258789062509548e-53,2.3283064365416107e-106
111101000000,6.103515625003058e-47,3.725290298465647e-93
000011000000,9.536743164070857e-67,9.094947017745222e-133
100011000000,3.8146972656278676e-60,1.4551915228388728e-119
010011000000,3.8146972656278643e-60,1.4551915228388703e-119
110011000000,1.5258789062509553e-53,2.328306436541612e-106
001011000000,3.8146972656278665e-60,1.455191522838872e-119
101011000000,1.5258789062509567e-53,2.328306436541616e-106
011011000000,1.5258789062509548e-53,2.3283064365416107e-106
111011000000,6.103515625003058e-47,3.725290298465647e-93
000111000000,3.814697265627867e-60,1.4551915228388725e-119
100111000000,1.5258789062509567e-53,2.328306436541616e-106
010111000000,1.5258789062509548e-53,2.3283064365416107e-106
110111000000,6.103515625003058e-47,3.725290298465647e-93
001111000000,1.5258789062509562e-53,2.3283064365416146e-106
101111000000,6.103515625003062e-47,3.725290298465652e-93
011111000000,6.103515625003056e-47,3.7252902984656446e-93
111111000000,2.441406250000919e-40,5.9604644775435515e-80
000000100000,2.3841857910180118e-73,5.684341886092182e-146
100000100000,9.536743164070861e-67,9.09494701774523e-133
010000100000,9.536743164070848e-67,9.094947017745205e-133
110000100000,3.8146972656278643e-60,1.4551915228388703e-119
001000100000,9.536743164070853e-67,9.094947017745214e-133
101000100000,3.814697265627867e-60,1.4551915228388725e-119
011000100000,3.814697265627863e-60,1.4551915228388695e-119
111000100000,1.525878906250955e-53,2.328306436541611e-106
